Application_Date,Month,Company,Role,Platform,Location,Response Status,Job Type
29/07/2025,July,Tele Infotech,Data Analyst,Naukri,Pune,Applied,Experienced
29/07/2025,July,Confidential,Software Developer,Naukri,Bengaluru,Applied,Entry-Level
28/07/2025,July,Persistent ,Python Developer ,Career Website,Bengaluru,Applied,Entry-Level
28/07/2025,July,Technoworld Softwares,Python Developer,Naukri,Mumbai,Rejected ,Entry-Level
28/07/2025,July,Austere Systems,Database Engineer,Indeed,Mumbai,Applied,Fresher
25/07/2025,July,Fusion Technologies,Data Analyst,Naukri,Bengaluru,Applied,Internship
25/07/2025,July,Zensar Technologies,Quality Assurance Engineer ,Career Website,Bengaluru,Applied,Fresher
25/07/2025,July,Accenture,Python Developer ,Naukri,Bengaluru,Interview,Fresher
25/07/2025,July,Renentech Labs,Analyst,Indeed,Mumbai,Applied,Entry-Level
25/07/2025,July,Keshrup Systems,Data Analyst,Naukri,Bengaluru,Rejected ,Fresher
24/07/2025,July,XL Dynamics,Service Consultant,LinkedIn,Mumbai,Rejected ,Fresher
24/07/2025,July,AVA Technology,Desktop Support Engineer,Naukri,Pune,Applied,Internship
24/07/2025,July,EY,Data Analyst,Career Website,Pune,Interview,Internship
23/07/2025,July,KPMG,Analyst,Career Website,Mumbai,Interview,Entry-Level
23/07/2025,July,PWC,Business Analyst,Career Website,Pune,Applied,Internship
22/07/2025,July,Vibry Business Solutions,Business Associates,Naukri,Mumbai,Applied,Fresher
22/07/2025,July,Samvith Technologies,HR Recruiter,LinkedIn,Pune,Applied,Entry-Level
22/07/2025,July,Asteria Aerospace,Database Engineer ,LinkedIn,Bengaluru,Applied,Fresher
21/07/2025,July,EY,Data Analyst,Career Website,Mumbai,Applied,Entry-Level
21/07/2025,July,Aptech Ltd,Mis Executive,Indeed,Mumbai,Applied,Fresher
18/07/2025,July,Sparta Systems,Analyst,Indeed,Mumbai,Applied,Entry-Level
18/07/2025,July,Intelli Services,Software Engineer,Indeed,Mumbai,Applied,Internship
18/07/2025,July,Rock Solid Solutions,Full Stack Developer,LinkedIn,Bengaluru,Rejected ,Fresher
18/07/2025,July,Futops,Python-AI/ML,LinkedIn,Hyderabad,Ghosted,Entry-Level
18/07/2025,July,Techalpha Messaging ,Associate Engineer,LinkedIn,Hyderabad,Ghosted,Fresher
18/07/2025,July,eClerx,Analyst,LinkedIn,Hyderabad,Interview,Internship
17/07/2025,July,Acko,Associate/Sr.,LinkedIn,Hyderabad,Ghosted,Entry-Level
17/07/2025,July,Wipro,Data Analyst,Career Website,Noida,Applied,Fresher
16/07/2025,July,Wipro,Analyst,Career Website,Pune,Ghosted,Entry-Level
16/07/2025,July,Infosys,Analyst,Career Website,Noida,Applied,Experienced
16/07/2025,July,Accenture,Data Analyst,Career Website,Pune,Applied,Fresher
15/07/2025,July,UniScope,PowerBi Developer,LinkedIn,Pune,Applied,Internship
15/07/2025,July,Wipro,PowerBi Developer,LinkedIn,Pune,Applied,Entry-Level
14/07/2025,July,Wipro,Data Analyst,LinkedIn,Noida,Applied,Fresher
14/07/2025,July,Horizon Services ,Business Executive,LinkedIn,Noida,Interview,Entry-Level
30/07/2025,July,Cashflo,Analyst,LinkedIn,Noida,Ghosted,Fresher
30/07/2025,July,Hexaware Technologies,Customer Service ,LinkedIn,Noida,Ghosted,Internship
29/07/2025,July,JPMorgan Chase Bank,Senior Data Engineer,Career Website,Pune,Ghosted,Entry-Level
29/07/2025,July,UBS,Data Analyst,Career Website,Pune,Ghosted,Fresher
29/07/2025,July,Tech Mahindra,Payroll Operations,Career Website,Pune,Applied,Entry-Level
26/07/2025,July,Digiinterface,PHP Developer ,LinkedIn,Pune,Applied,Fresher
26/07/2025,July,Htl Aircon,Data Entry Executive,LinkedIn,Noida,Applied,Internship
25/07/2025,July,Lakshya Software Technologies,Test Analyst,LinkedIn,Noida,Rejected,Entry-Level
25/07/2025,July,Syngenta,Analyst,LinkedIn,Noida,Rejected,Experienced
25/07/2025,July,Syngenta,Data Analyst,Naukri,Noida,Applied,Fresher
24/07/2025,July,Syngenta,Data Analyst,Naukri,Noida,Applied,Entry-Level
24/07/2025,July,Scry Ai,Data Analyst,LinkedIn,Mumbai,Rejected,Internship
23/07/2025,July,Digichorous pvt ltd,Data Engineer,LinkedIn,Mumbai,Interview,Fresher
23/07/2025,July,Fuse Machines,Software Developer,LinkedIn,Mumbai,Applied,Entry-Level
22/07/2025,July,Zensar ,Data Analyst,LinkedIn,Bengaluru,Applied,Fresher
22/07/2025,July,Tech Mahindra,Data Analyst,Naukri,Bengaluru,Applied,Internship
21/07/2025,July,Hypersonic Co.,Analyst,Career Website,Bengaluru,Applied,Entry-Level
21/07/2025,July,Tata TCS,Analyst,Career Website,Hyderabad,Applied,Fresher
18/07/2025,July,FedEx,Software Developer,Naukri,Hyderabad,Applied,Entry-Level
18/07/2025,July,eClerx,Data Analyst,Naukri,Hyderabad,Applied,Experienced
17/07/2025,July,Tata TCS,Data Analyst,Naukri,Bengaluru,Applied,Fresher
17/07/2025,July,Your Tribe,Analyst,Naukri,Bengaluru,Applied,Internship
16/07/2025,July,Shink,Analyst,Naukri,Bengaluru,Applied,Entry-Level
16/07/2025,July,TechBite Services,Data Entry Executive,Indeed,Bengaluru,Applied,Fresher
15/07/2025,July,Infosys,Test Analyst,Career Website,Bengaluru,Applied,Entry-Level
15/07/2025,July,Accenture,Analyst,Career Website,Noida,Rejected,Fresher
14/07/2025,July,KPMG,Data Analyst,Career Website,Pune,Rejected,Internship
